filename,description,category,tags,notes
Sitting2_NOPROCESS_.png,Woman sitting on block pointing left,people,woman|sitting|pointing-left|character|teal-clothing|flat-design|illustrated|professional,Character illustration set
teal arrow.png,Downward triple chevron arrow,arrows,arrow|chevron|down|teal|graphic|navigation|icon,Matches wheat arrow variant
teal divider.png,Teal divider bar with down arrow,dividers,divider|teal|down-arrow|horizontal|graphic|separator|flat-design,For navigation or section breaks
Walking_NOPROCESS_.png,Woman walking to the right,people,woman|character|walking-right|teal-clothing|flat-design|illustrated|motion,Character illustration set
wheat arrow transparent.png,Downward triple chevron arrow,arrows,arrow|chevron|down|wheat|graphic|navigation|icon|transparent,Transparent background
WLSQ Master Image.png,Women's Legal Service Queensland logo,logos,wlsq|logo|branding|purple|teal|text|organization|professional,Official WLSQ branding
wlsqt1_NOPROCESS_.png,Short purple wave transition,transitions,transition|wave|horizontal|decorative|purple|separator|flat-design,Part of WLSQ transition series
WLSQTransitions1_NOPROCESS_.png,Purple wave transition bar,transitions,transition|wave|horizontal|decorative|purple|separator|flat-design,Part of WLSQ transition series
WLSQTransitions2_NOPROCESS_.png,Purple wave transition variant two,transitions,transition|wave|horizontal|decorative|purple|separator|flat-design,Part of WLSQ transition series
WLSQTransitions3_NOPROCESS_.png,Teal wave transition bar,transitions,transition|wave|horizontal|decorative|teal|separator|flat-design,Part of WLSQ transition series
WLSQTransitions4_NOPROCESS_.png,Light teal wave transition bar,transitions,transition|wave|horizontal|decorative|teal|light|separator|flat-design,Part of WLSQ transition series
WLSQTransitions5_NOPROCESS_.png,Light neutral wave transition bar,transitions,transition|wave|horizontal|decorative|neutral|light|separator|flat-design,Part of WLSQ transition series
WLSQTransitions6_NOPROCESS_.png,Grey neutral wave transition bar,transitions,transition|wave|horizontal|decorative|grey|neutral|separator|flat-design,Part of WLSQ transition series
7_NOPROCESS_.png,Light neutral wave transition,transitions,transition|wave|horizontal|decorative|neutral|light|separator|flat-design,Part of WLSQ transition series
about-us-banner.jpg,Mother and child outdoor banner,backgrounds,banner|photo|people|outdoor|green|branding|header|landscape,Hero/header banner
arow3.png,Beige divider with down arrow,dividers,divider|beige|down-arrow|horizontal|graphic|separator|flat-design|logo-left,Variant of arrow divider
arrow 1.png,Beige divider with left chevrons,dividers,divider|beige|chevrons-left|down-arrow|horizontal|graphic|separator|flat-design,Variant of arrow divider
arrow centre.png,Purple bar with centred down arrow,dividers,divider|purple|down-arrow|horizontal|graphic|separator|flat-design|centered,
arrow left.png,Purple bar with left-positioned down arrow,dividers,divider|purple|down-arrow|horizontal|graphic|separator|flat-design|left,
arrow2.png,Beige divider with centred down arrow,dividers,divider|beige|down-arrow|horizontal|graphic|separator|flat-design|centered,
arrow3.png,Beige divider with down arrow,dividers,divider|beige|down-arrow|horizontal|graphic|separator|flat-design|logo-left,Duplicate style; beige variant
CIRCLE 1.png,Abstract interwoven circle mark,logos,wlsq|abstract-mark|circle|purple|teal|neutral|branding|icon,Part of WLSQ brand elements
lady1.5.png,Woman side profile facing right,people,woman|profile-right|character|purple-clothing|flat-design|illustrated|professional,
lady1.png,Woman side profile facing right,people,woman|profile-right|character|purple-clothing|flat-design|illustrated|professional,Full-height panel version
lady2.png,Woman in hijab facing forward,people,woman|hijab|front-facing|character|purple-clothing|flat-design|illustrated|professional,
lady3.png,Purple hills with moon and clouds,backgrounds,landscape|mountains|moon|clouds|purple|teal|illustrated|decorative,Scene background
lady4.png,Woman raising protest sign,people,woman|protest|sign|arms-raised|front-facing|teal|purple|illustrated,Character illustration
Purple logo.png,WLSQ logo lockup purple,logos,wlsq|logo|branding|purple|text|organization|professional,Official WLSQ branding
